antecedent,consequent,co_orders,antecedent_orders,consequent_orders,total_orders,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,level,both_item_customers,both_item_repeat_rate,both_item_avg_ltv,both_item_pct_subscribed,antecedent_item_revenue_sgd,antecedent_item_covered_revenue_sgd,antecedent_item_est_gross_profit_sgd,antecedent_item_margin_coverage_pct,antecedent_item_est_margin_pct,consequent_item_revenue_sgd,consequent_item_covered_revenue_sgd,consequent_item_est_gross_profit_sgd,consequent_item_margin_coverage_pct,consequent_item_est_margin_pct,margin_overlay_available,pair_est_margin_pct,repeat_rate_uplift,subscription_uplift,ltv_ratio,trustworthy,n_repeat_uplift,n_sub_uplift,n_lift,n_scale,n_margin,retention_value_score
LEAN-THA-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Thai Milk Tea,LEAN-TAR-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Taro,48,336,259,7564,0.0063458487572712,0.044420941300899,0.0342411422527763,0.1428571428571428,4.172090457804743,0.0048248249871849,1.1267186673717609,sku_flavor,46,0.5217391304347826,1185.0725955204216,0.4347826086956521,,,,,,,,,,,False,,0.29302828516483137,0.3223947604349878,9.176498511148104,True,0.7010869565217391,1.0,0.021468953057360903,0.3249527448911575,0.5,0.5633627893016676
0724999808361 | LP CLASSIC SHAKER | White,0724999810487 | CLEAR PROTEIN | 25g Sachet (1 serving) / White Grape,38,473,71,7564,0.0050237969328397,0.0625330512956107,0.0093865679534637,0.080338266384778,8.558854182175505,0.004436826197516,1.0771497778345094,sku_flavor,43,0.4418604651162791,1101.0095348837212,0.1860465116279069,,,,,,,,,,,False,,0.21314961984632788,0.07365866336724264,8.525564084268987,True,0.5363372093023258,0.4047003814445675,0.06183700725840243,0.20049748068316572,0.5,0.3545182817059949
0724999810487 | CLEAR PROTEIN | 25g Sachet (1 serving) / White Grape,0724999808361 | LP CLASSIC SHAKER | White,38,71,473,7564,0.0050237969328397,0.0093865679534637,0.0625330512956107,0.5352112676056338,8.558854182175503,0.004436826197516,2.0169743441821706,sku_flavor,43,0.4418604651162791,1101.0095348837212,0.1860465116279069,,,,,,,,,,,False,,0.21314961984632788,0.07365866336724264,8.525564084268987,True,0.5363372093023258,0.4047003814445675,0.06183700725840242,0.20049748068316572,0.5,0.3545182817059949
CLEAR-PEA-500G-V2 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / Peach,ACC-SHK-V2 | LP CLASSIC SHAKER | White,57,273,341,7564,0.0075356953992596,0.0360920148069804,0.0450819672131147,0.2087912087912088,4.631368631368631,0.0059085963710761,1.20691029143898,sku_flavor,70,0.3285714285714285,840.2550649350651,0.2428571428571428,,,,,,,,,,,False,,0.09986058330147732,0.13046929459647855,6.506436298930015,True,0.3026785714285714,0.5406651549508693,0.02569534120331508,0.41689223566416644,0.5,0.3436427637565767
ACC-SHK-V2 | LP CLASSIC SHAKER | White,CLEAR-PEA-500G-V2 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / Peach,57,341,273,7564,0.0075356953992596,0.0450819672131147,0.0360920148069804,0.1671554252199413,4.631368631368631,0.0059085963710761,1.1573683906719,sku_flavor,70,0.3285714285714285,840.2550649350651,0.2428571428571428,,,,,,,,,,,False,,0.09986058330147732,0.13046929459647855,6.506436298930015,True,0.3026785714285714,0.5406651549508693,0.02569534120331508,0.41689223566416644,0.5,0.3436427637565767
0724999810470 | LEAN PROTEIN | 40g Sachet (1 serving) / Taro,0724999810463 | LEAN PROTEIN | 40g Sachet (1 serving) / Thai Milk Tea,116,125,131,7564,0.0153358011634056,0.0165256478053939,0.0173188789000528,0.928,53.58314503816794,0.015049595470319,13.64834890416594,sku_flavor,115,0.208695652173913,57.579214756258224,0.1130434782608695,,,,,,,,,,,False,,-0.020015193096038192,0.0006556300002052429,0.44585924987308123,True,0.055434782608695624,0.22998236331569666,0.4761613538241318,0.7995025193168342,0.5,0.33928367427388434
0724999810463 | LEAN PROTEIN | 40g Sachet (1 serving) / Thai Milk Tea,0724999810470 | LEAN PROTEIN | 40g Sachet (1 serving) / Taro,116,131,125,7564,0.0153358011634056,0.0173188789000528,0.0165256478053939,0.8854961832061069,53.58314503816794,0.015049595470319,8.589009342499562,sku_flavor,115,0.208695652173913,57.579214756258224,0.1130434782608695,,,,,,,,,,,False,,-0.020015193096038192,0.0006556300002052429,0.44585924987308123,True,0.055434782608695624,0.22998236331569666,0.4761613538241318,0.7995025193168342,0.5,0.33928367427388434
0724999810494 | CLEAR PROTEIN | 25g Sachet (1 serving) / Peach,0724999808361 | LP CLASSIC SHAKER | White,35,71,473,7564,0.0046271813855103,0.0093865679534637,0.0625330512956107,0.4929577464788732,7.883155167793229,0.0040402106501866,1.8488931488336564,sku_flavor,41,0.4390243902439024,1147.2436585365856,0.1707317073170731,,,,,,,,,,,False,,0.2103135449739512,0.05834385905640885,8.883573685088784,True,0.5304878048780488,0.3680474899987095,0.05561906251598605,0.156855164192735,0.5,0.3358103010951995
0724999808361 | LP CLASSIC SHAKER | White,0724999810494 | CLEAR PROTEIN | 25g Sachet (1 serving) / Peach,35,473,71,7564,0.0046271813855103,0.0625330512956107,0.0093865679534637,0.0739957716701902,7.883155167793229,0.0040402106501866,1.0697720396301635,sku_flavor,41,0.4390243902439024,1147.2436585365856,0.1707317073170731,,,,,,,,,,,False,,0.2103135449739512,0.05834385905640885,8.883573685088784,True,0.5304878048780488,0.3680474899987095,0.05561906251598605,0.156855164192735,0.5,0.3358103010951995
ACC-SHK-V2 | LP CLASSIC SHAKER | White,CLEAR-GRA-500G-V2 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / White Grape,45,341,244,7564,0.0059492332099418,0.0450819672131147,0.032258064516129,0.1319648093841642,4.090909090909091,0.0044949762030671,1.114864864864865,sku_flavor,48,0.3958333333333333,1170.50375,0.1458333333333333,,,,,,,,,,,False,,0.16712248806338212,0.033445485072669034,9.0636860220798,True,0.44140625000000006,0.3084582598471488,0.02072190260630694,0.29050521431372467,0.5,0.3072566026301073
CLEAR-GRA-500G-V2 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / White Grape,ACC-SHK-V2 | LP CLASSIC SHAKER | White,45,244,341,7564,0.0059492332099418,0.032258064516129,0.0450819672131147,0.1844262295081967,4.090909090909091,0.0044949762030671,1.170854271356784,sku_flavor,48,0.3958333333333333,1170.50375,0.1458333333333333,,,,,,,,,,,False,,0.16712248806338212,0.033445485072669034,9.0636860220798,True,0.44140625000000006,0.3084582598471488,0.02072190260630694,0.29050521431372467,0.5,0.3072566026301073
