antecedent,consequent,co_orders,antecedent_orders,consequent_orders,total_orders,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,level,both_item_customers,both_item_repeat_rate,both_item_avg_ltv,both_item_pct_subscribed,antecedent_item_revenue_sgd,antecedent_item_covered_revenue_sgd,antecedent_item_est_gross_profit_sgd,antecedent_item_margin_coverage_pct,antecedent_item_est_margin_pct,consequent_item_revenue_sgd,consequent_item_covered_revenue_sgd,consequent_item_est_gross_profit_sgd,consequent_item_margin_coverage_pct,consequent_item_est_margin_pct,margin_overlay_available
0724999807821 | LEAN PROTEIN | 1kg Pack (25 serves) / Thai Milk Tea,0724999807708 | LEAN PROTEIN | 1kg Pack (25 serves) / Taro,17,108,72,7564,0.0022474881015335803,0.014278159703860392,0.009518773135906928,0.1574074074074074,16.536522633744855,0.002111577538514285,1.1755161813332096,sku_flavor,20,0.55,2507.713090909091,0.35,,,,,,,,,,,False
0724999810470 | LEAN PROTEIN SACHET #2 | 40g Sachet / Taro,0724999808361 | LP CLASSIC SHAKER | White,65,65,473,7564,0.008593336858804866,0.008593336858804866,0.06253305129561079,1.0,15.991543340380549,0.008055969284212759,inf,sku_flavor,64,0.28125,57.48791666666667,0.109375,,,,,,,,,,,False
0724999808361 | LP CLASSIC SHAKER | White,0724999810470 | LEAN PROTEIN SACHET #2 | 40g Sachet / Taro,65,473,65,7564,0.008593336858804866,0.06253305129561079,0.008593336858804866,0.13742071881606766,15.991543340380549,0.008055969284212759,1.1493513521220229,sku_flavor,64,0.28125,57.48791666666667,0.109375,,,,,,,,,,,False
0724999810463 | LEAN PROTEIN SACHET #2 | 40g Sachet / Thai Milk Tea,0724999808361 | LP CLASSIC SHAKER | White,51,51,473,7564,0.0067424643046007406,0.0067424643046007406,0.06253305129561079,1.0,15.991543340380549,0.006320837438382318,inf,sku_flavor,51,0.2549019607843137,70.76764705882353,0.11764705882352941,,,,,,,,,,,False
0724999808361 | LP CLASSIC SHAKER | White,0724999810463 | LEAN PROTEIN SACHET #2 | 40g Sachet / Thai Milk Tea,51,473,51,7564,0.0067424643046007406,0.06253305129561079,0.0067424643046007406,0.10782241014799154,15.991543340380549,0.006320837438382318,1.113295768682284,sku_flavor,51,0.2549019607843137,70.76764705882353,0.11764705882352941,,,,,,,,,,,False
0724999810463 | LEAN PROTEIN SACHET | 40g Sachet / Thai Milk Tea,0724999808361 | LP CLASSIC SHAKER | White,125,136,473,7564,0.01652564780539397,0.017979904812268643,0.06253305129561079,0.9191176470588235,14.698109687849769,0.015401309495478178,11.590500456708805,sku_flavor,122,0.22950819672131148,427.2406060606062,0.09836065573770492,,,,,,,,,,,False
0724999808361 | LP CLASSIC SHAKER | White,0724999810463 | LEAN PROTEIN SACHET | 40g Sachet / Thai Milk Tea,125,473,136,7564,0.01652564780539397,0.06253305129561079,0.017979904812268643,0.2642706131078224,14.698109687849769,0.015401309495478178,1.3347571983442441,sku_flavor,122,0.22950819672131148,427.2406060606062,0.09836065573770492,,,,,,,,,,,False
0724999810470 | LEAN PROTEIN | 40g Sachet (1 serving) / Taro,0724999810487 | CLEAR PROTEIN | 25g Sachet (1 serving) / White Grape,17,125,71,7564,0.0022474881015335803,0.01652564780539397,0.009386567953463775,0.136,14.488788732394369,0.0020923689854332405,1.1465433241279355,sku_flavor,21,0.47619047619047616,163.3190476190476,0.42857142857142855,,,,,,,,,,,False
0724999810487 | CLEAR PROTEIN | 25g Sachet (1 serving) / White Grape,0724999810470 | LEAN PROTEIN | 40g Sachet (1 serving) / Taro,17,71,125,7564,0.0022474881015335803,0.009386567953463775,0.01652564780539397,0.23943661971830985,14.488788732394365,0.0020923689854332405,1.293086648255871,sku_flavor,21,0.47619047619047616,163.3190476190476,0.42857142857142855,,,,,,,,,,,False
0724999810494 | CLEAR PROTEIN | 25g Sachet (1 serving) / Peach,0724999810463 | LEAN PROTEIN | 40g Sachet (1 serving) / Thai Milk Tea,17,71,131,7564,0.0022474881015335803,0.009386567953463775,0.017318878900052882,0.23943661971830985,13.825180088162563,0.002084923267860424,1.2920436962610415,sku_flavor,22,0.5,2155.742272727273,0.22727272727272727,,,,,,,,,,,False
0724999810463 | LEAN PROTEIN | 40g Sachet (1 serving) / Thai Milk Tea,0724999810494 | CLEAR PROTEIN | 25g Sachet (1 serving) / Peach,17,131,71,7564,0.0022474881015335803,0.017318878900052882,0.009386567953463775,0.1297709923664122,13.825180088162563,0.002084923267860424,1.1383364877025985,sku_flavor,22,0.5,2155.742272727273,0.22727272727272727,,,,,,,,,,,False
