sku_norm,Line: Title,Line: Variant Title,product_category,line_items,orders,revenue_sgd,covered_revenue_sgd,covered_lines,estimated_gross_profit_sgd,estimated_cogs_sgd,revenue_coverage_pct,line_coverage_pct,estimated_margin_pct
0724999808613,PLANT PROTEIN,480g Pack (16 servings) / Vanilla,Other,294,294,15785.85909090909,15785.859090909089,294,11977.75909090909,3808.1,0.9999999999999999,1.0,0.7587651088186234
,"Prime Micellar Casein - 1KG Pack, Natural (Unflavoured)",,Unknown,127,127,15688.677575757576,0.0,0,0.0,0.0,0.0,0.0,
,Green Tea Extract Capsules - 60 Capsules,,Unknown,288,288,15314.705454545454,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey Protein - 500g Pack, Matchawhey",,Unknown,255,255,15298.327878787879,0.0,0,0.0,0.0,0.0,0.0,
0724999807708,LEAN PROTEIN,1kg Pack (25 serves) / Taro,Lean Protein,123,123,15083.417878787879,15083.417878787875,123,10035.51787878788,5047.9,0.9999999999999998,1.0,0.6653344725601641
,"Better Whey Protein - 1KG Pack, Mango",,Unknown,171,171,14385.375454545454,0.0,0,0.0,0.0,0.0,0.0,
0724999807999,Creatine Monohydrate,,Other,443,441,14337.85909090909,14337.859090909089,443,10956.16909090909,3381.69,0.9999999999999999,1.0,0.764142611629922
,"Better Whey Protein - 500g Pack, Vanilla",,Unknown,217,216,14015.15393939394,0.0,0,0.0,0.0,0.0,0.0,
0724999807822,LEAN PROTEIN,1 x 1kg Pack (25 servings) / Taro,Lean Protein,209,209,13526.159672131147,0.0,0,0.0,0.0,0.0,0.0,
0724999807807,CLEAR PROTEIN,1 x 500g Pack (20 servings) / White Grape,Clear Protein,207,207,13137.035081967213,13137.035081967213,207,9091.235081967214,4045.8,1.0,1.0,0.6920309662905948
0724999808361,LP CLASSIC SHAKER,White,Accessories,961,955,12593.44,12593.439999999999,961,10651.619999999999,1941.8200000000002,0.9999999999999999,1.0,0.8458070233391353
,Lushprotein Collagen Glow 300gm (30 servings) | Unflavoured 100% Collagen Peptides Powder (Bovine Source) | Type I & III (Not linked to Shopify),,Unknown,46,46,12388.05,0.0,0,0.0,0.0,0.0,0.0,
0724999807937,Better Whey Protein,1KG Pack / Cocoa Dinosaur,Other,113,113,12360.397272727274,12360.397272727276,113,7876.987272727274,4483.41,1.0000000000000002,1.0,0.6372762217042597
,"Better Whey - 500g Pack, Natural (Unflavoured)",,Unknown,194,193,12335.487272727272,0.0,0,0.0,0.0,0.0,0.0,
0724999807784,BETTER WHEY PROTEIN,1kg Pack (40 servings) / Matchawhey,Other,196,196,12280.84696969697,0.0,0,0.0,0.0,0.0,0.0,
