Line: Product Handle,Line: Variant Title,Line: SKU,line_items,unique_customers,total_revenue,unit_cost,Price / Singapore,Status,has_cost
better-whey,500g Pack / Cocoa Dinosaur,0724999808897,27,27,1267.4163636363637,,,,False
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,LEAN-THA-40G-5PK-V1,40,31,1256.8899999999999,4.15,,,True
lean-protein,4 x 1kg Packs (100 servings) / Taro,LEAN-TAR-1KG-4BL-V1,5,3,1255.88,,,,False
lean-protein,4 x 1kg Packs (100 servings) / Taro,0724999807822_4,6,5,1251.31,,,,False
clear-protein-25g-single-sachet,5 x 25g (5 servings) *MOST POPULAR* / White Grape,CLEAR-GRA-25G-5PK-V2,49,41,1247.12,5.25,,,True
clear-protein,4 x 500g Pack (80 servings) / White Grape,CLEAR-GRA-500G-4BL-V2,4,4,1245.0,,,,False
soy-protein-isolate,1KG / Unflavoured,0724999807845,33,27,1238.14,,,,False
lean-protein,2 x 1kg Packs (50 servings) *MOST POPULAR* / Thai Milk Tea,0724999807821_2,11,10,1205.52,,,,False
lean-protein,2 x 1kg Packs (50 servings) *MOST POPULAR* / Taro,0724999807822_2,12,11,1192.94,,,,False
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Thai Milk Tea,LEAN-THA-40G-V1,93,80,1191.72,0.83,,,True
super-omega-3,60 Softgels,CAP-OMG-BOTTLE-V1,18,13,1112.66,11.56,,draft,True
better-whey,1KG Pack / Matchawhey,0724999807784,12,12,1103.4766666666667,,,,False
clear-protein-25g-single-sachet,5 x 25g (5 servings) *MOST POPULAR* / Peach,CLEAR-PEA-25G-5PK-V2,41,34,1038.76,5.25,,,True
plant-protein,Natural (Unflavored) / 480g,724999808620.0,25,23,1028.9642424242425,,,,False
collagen-glow,300g Pack (30 servings),724999808507.0,15,13,1015.73,,,,False
better-whey,1kg Pack (40 servings) / Mango,0724999807951,16,14,1000.31,,,,False
clear-protein,4 x 500g Pack (80 servings) / White Grape,0724999807807_4,4,4,996.0,,,,False
better-whey,500g (20 serves) / Cocoa Dinosaur,0724999808897,25,19,984.8878787878789,,,,False
better-whey,1kg Pack (40 servings) / Vanilla (Exp Nov23),724999807913.0,18,16,979.9499999999999,,,,False
lean-protein,1kg Pack (40 servings) / Taro,0724999807708,14,14,881.89,,,,False
clear-protein-25g-single-sachet,1 x 25g (1 serving) / White Grape,CLEAR-GRA-25G-V2,86,75,861.02,1.05,,,True
soy-protein-isolate,1KG Pack / Natural (Unflavoured),0724999807845,10,9,838.7454545454545,,,,False
better-whey,1KG Pack / Natural (Unflavoured),0724999807890,7,7,832.5254545454545,,,,False
plant-protein,Vanilla / 480g,724999808613.0,17,13,826.9845454545455,,,,False
soy-protein-isolate,1kg Pack (40 servings) / Natural (Unflavoured),724999807845.0,18,15,811.6730303030304,,,,False
better-whey,1kg Pack (40 servings) / Vanilla,0724999807913,14,14,809.54,,,,False
better-whey,1kg (40 servings) / Unflavoured,BET-UNF-1KG-V1,10,5,803.64,21.1,,draft,True
better-whey,1KG Pack / Natural (Unflavored),0724999807890,7,6,799.1800000000001,,,,False
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Taro,LEAN-TAR-40G-V1,75,67,791.79,0.83,,active,True
plant-protein,480g Pack (16 servings) / Natural (Unflavoured),724999808620.0,19,16,788.0721212121213,,,,False
collagen-glow,2 x 300g packs (60 servings) *Most Popular*,COL-UNF-300G-2BL-V1,11,7,762.2,,,,False
better-whey,500g Pack / Teh Tarik,724999808910.0,17,16,718.1999999999999,,,,False
better-whey,1kg Pack (40 servings) / Genmai-Roasted Brown Rice,0724999808736,15,13,695.1999999999999,,,,False
green-tea-extract-capsules,60 Capsules (60 servings),0724999807548,28,25,692.979393939394,,,,False
prime-whey-isolate,1kg Pack (40 servings) / Matchawhey,724999807777.0,7,7,679.6800000000001,,,,False
green-tea-extract-capsules,60 Capsules,0724999807548,29,27,678.4472727272728,,,,False
clear-protein,25g Sachet (1 serving) / White Grape,0724999810487,76,70,668.77,,,,False
super-omega-3,60 Softgels (60 servings),0724999807555,18,18,667.4254545454546,,,,False
pureburn-fat-burner-capsules,90 capsules,724999807562.0,16,16,661.6848484848485,,,,False
clear-protein,25g Sachet (1 serving) / Peach,0724999810494,77,70,655.97,,,,False
better-whey,1kg Pack (40 servings) / Teh Tarik,724999808422.0,11,9,632.25,,,,False
better-whey,1kg Pack (40 servings) / Vanilla (unsweetened),0724999807913,11,9,631.96,,,,False
super-omega-3,60 Softgels,0724999807555,20,14,631.6427272727273,,,,False
better-whey,1KG Pack / Teh Tarik,0724999808422,6,6,630.26,,,,False
collagen-glow,4 x 300g packs (120 servings),COL-UNF-300G-4BL-V1,5,4,624.1099999999999,,,,False
better-whey,500g Pack / Matchawhey,724999808941.0,15,15,587.6,,,,False
better-whey,500g Pack (20 servings) / Cocoa Dinosaur,724999808897.0,16,15,573.780303030303,,,,False
better-whey,500g Pack / Vanilla,724999808903.0,16,15,564.86,,,,False
soy-protein-isolate,4 x 1kg Pack (160 servings) / Unflavoured,SOY-UNF-1KG-4BL-V1,5,5,562.62,,,,False
collagen-glow,2 x 300g packs (60 servings) *Most Popular*,0724999808507_2,8,5,559.69,,,,False
prime-whey-isolate,Natural (Unflavored),0724999807760,4,4,545.1818181818182,,,,False
better-whey,500g Pack (20 servings) / Natural (Unflavoured),0724999808880,16,16,535.7121212121212,,,,False
lean-protein,2 x 1kg Packs (50 servings) *POPULAR* / Taro,0724999807822_2,5,5,527.61,,,,False
lean-protein,40g Sachet (1 serving) / Thai Milk Tea,0724999810463,136,131,525.67,,,,False
lushprotein-lean-protein-40g-single-serve,40g Sachet / Thai Milk Tea,0724999810463,36,35,511.23,,,,False
soy-protein-isolate,4 x 1kg Pack (160 servings) / Unflavoured,0724999807845_4,4,2,484.68,,,,False
prime-whey-isolate,1KG Pack / Cocoa-dinosaur,0724999807791,2,2,479.97,,,,False
plant-protein,Vanilla / 480g,0724999808613,2,2,478.40000000000003,,,,False
super-omega-3,60 Capsules,724999807555.0,11,8,471.0678787878788,,,,False
discovery-sampler,6 Sachets Variety,0724999809610,20,20,470.95,,,,False
multivitamin-vegan,90 Capsules (30 servings),0724999808378,12,11,456.469696969697,,,,False
lean-protein,40g Sachet (1 serving) / Taro,0724999810470,128,126,444.57,,,,False
better-whey,1kg Pack (40 servings) / Mango,724999807951.0,8,8,439.06,,,,False
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,0724999810517,15,12,435.16999999999996,,,,False
better-whey,1KG Pack / Vanilla,0724999807913,4,4,419.40000000000003,,,,False
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Taro,0724999810470,52,50,403.15000000000003,,,,False
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Thai Milk Tea,0724999810463,54,50,401.2,,,,False
plant-protein,Cocoa Dinosaur / 480g,0724999808606,7,7,394.6818181818182,,,,False
plant-protein,Vanilla,0724999808613,7,7,382.77696969696973,,,,False
