first_handle,first_variant,first_sku,flavor_sku,customers,loyal_rate,avg_ltv,avg_orders,pct_subscribed,lift_vs_baseline
better-whey,1KG Pack / Cocoa Dinosaur,724999807937.0,better-whey | 1KG Pack / Cocoa Dinosaur,42,0.14285714285714285,131.11847763347765,1.6666666666666667,0.16666666666666666,0.8819764464925756
better-whey,1kg Pack (40 servings) / Matchawhey,0724999807784,better-whey | 1kg Pack (40 servings) / Matchawhey,36,0.1388888888888889,103.86031144781145,1.3888888888888888,0.1111111111111111,0.8574771007566707
clear-protein,500g Pack (20 Serv) / Peach,0724999807814,clear-protein | 500g Pack (20 Serv) / Peach,412,0.13592233009708737,137.35849808767284,1.6432038834951457,0.12135922330097088,0.8391620558861399
plant-protein,480g Pack (16 servings) / Vanilla,0724999808613,plant-protein | 480g Pack (16 servings) / Vanilla,69,0.13043478260869565,104.2168511198946,1.536231884057971,0.057971014492753624,0.8052828424497429
clear-protein,500g Pack (20 Serv) / White Grape,0724999807807,clear-protein | 500g Pack (20 Serv) / White Grape,260,0.12692307692307692,125.79815967365967,1.5538461538461539,0.11153846153846154,0.7836021505376344
collagen-glow,300g (30 serves) / Unflavoured,0724999808507,collagen-glow | 300g (30 serves) / Unflavoured,40,0.125,71.44455303030303,1.5,0.15,0.7717293906810037
lushprotein-lean-protein-40g-single-serve,40g Sachet / Taro,0724999810470,lushprotein-lean-protein-40g-single-serve | 40g Sachet / Taro,32,0.125,70.6140625,1.59375,0.15625,0.7717293906810037
plant-protein,480g Pack (16 servings) / Natural (Unflavoured),0724999808620,plant-protein | 480g Pack (16 servings) / Natural (Unflavoured),34,0.11764705882352941,80.72081996434937,1.8823529411764706,0.11764705882352941,0.7263335441703563
clear-protein,500g Pack (20 servings) / Peach,0724999807814,clear-protein | 500g Pack (20 servings) / Peach,43,0.11627906976744186,152.0032558139535,1.5348837209302326,0.2558139534883721,0.7178878052846546
discovery-sampler,6 Sachets Variety,BND-SS-MIX6-V1,discovery-sampler | 6 Sachets Variety,54,0.1111111111111111,109.55259259259259,1.462962962962963,0.07407407407407407,0.6859816806053365
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,0724999807937,better-whey | 1kg Pack (40 servings) / Cocoa Dinosaur,74,0.10810810810810811,138.7964701064701,1.5945945945945945,0.1891891891891892,0.6674416351835708
better-whey,500g Pack / Cocoa Dinosaur,724999808897.0,better-whey | 500g Pack / Cocoa Dinosaur,30,0.1,75.2379595959596,1.4333333333333333,0.13333333333333333,0.617383512544803
clear-protein,500g Pack (20 servings) / White Grape,0724999807807,clear-protein | 500g Pack (20 servings) / White Grape,35,0.08571428571428572,129.98914285714287,1.6571428571428573,0.2,0.5291858678955453
micronized-creatine-monohydrate,250g (50 servings),0724999807999,micronized-creatine-monohydrate | 250g (50 servings),36,0.08333333333333333,80.12861111111111,1.5555555555555556,0.16666666666666666,0.5144862604540024
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Thai Milk Tea,LEAN-THA-40G-V1,lushprotein-lean-protein-40g-single-serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,36,0.08333333333333333,78.69833333333332,1.3611111111111112,0.027777777777777776,0.5144862604540024
lushprotein-clear-shaker,40g Sachet / Thai Milk Tea,0724999810463,unknown | 40g Sachet / Thai Milk Tea,60,0.08333333333333333,39.7055,1.4166666666666667,0.1,0.5144862604540024
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),0724999807999,micronized-creatine-monohydrate | 1 x 250g Pack (50 servings),50,0.08,63.80780000000001,1.38,0.1,0.49390681003584236
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,PLT-CHO-480G-V1,plant-protein | 480g Pack (16 servings) / Cocoa Dinosaur,38,0.07894736842105263,122.36736842105263,1.3421052631578947,0.0,0.48740803621958123
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Taro,LEAN-TAR-40G-V1,lushprotein-lean-protein-40g-single-serve | 1 x 40g Sachet (1 serving) / Taro,39,0.07692307692307693,80.41641025641026,1.2564102564102564,0.0,0.474910394265233
clear-protein,1 x 500g Pack (20 servings) / White Grape,0724999807807,clear-protein | 1 x 500g Pack (20 servings) / White Grape,56,0.07142857142857142,101.73915398126464,1.3214285714285714,0.16071428571428573,0.4409882232462878
lushprotein-clear-shaker,White,0724999808361,lushprotein-clear-shaker | White,228,0.07017543859649122,55.47513157894737,1.355263157894737,0.09210526315789473,0.43325158775073885
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,0724999807821,lean-protein | 1 x 1kg Pack (25 servings) / Thai Milk Tea,100,0.07,98.9288,1.36,0.06,0.43216845878136206
lushprotein-lean-protein-40g-single-serve,40g Sachet / Thai Milk Tea,0724999810463,lushprotein-lean-protein-40g-single-serve | 40g Sachet / Thai Milk Tea,32,0.0625,58.001875,1.375,0.0625,0.38586469534050183
lushprotein-clear-shaker,White,ACC-SHK-V2,lushprotein-clear-shaker | White,148,0.05405405405405406,95.36331081081082,1.2567567567567568,0.11486486486486487,0.3337208175917854
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),CRE-UNF-250G-V1,micronized-creatine-monohydrate | 1 x 250g Pack (50 servings),148,0.05405405405405406,94.77371621621622,1.2297297297297298,0.10810810810810811,0.3337208175917854
clear-protein,1 x 500g Pack (20 servings) / Peach,0724999807814,clear-protein | 1 x 500g Pack (20 servings) / Peach,75,0.05333333333333334,116.9052,1.2533333333333334,0.13333333333333333,0.3292712066905616
clear-protein-25g-single-sachet,1 x 25g (1 serving) / Peach,CLEAR-PEA-25G-V2,clear-protein-25g-single-sachet | 1 x 25g (1 serving) / Peach,40,0.05,54.423500000000004,1.175,0.05,0.3086917562724015
