first_handle,first_variant,first_sku,flavor_sku,customers,repeat_rate,avg_ltv
lushprotein-lean-protein-40g-single-serve,40g Sachet / Thai Milk Tea,0724999810463,lushprotein-lean-protein-40g-single-serve | 40g Sachet / Thai Milk Tea,13,0.38461538461538464,47.10923076923078
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Taro,0724999810470,lushprotein-lean-protein-40g-single-serve | 1 x 40g Sachet (1 serving) / Taro,13,0.3076923076923077,42.43692307692308
plant-protein,Natural (Unflavored) / 480g,724999808620.0,plant-protein | Natural (Unflavored) / 480g,13,0.07692307692307693,44.7551048951049
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,LEAN-THA-40G-5PK-V1,lushprotein-lean-protein-40g-single-serve | 5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,13,0.15384615384615385,55.169230769230765
lean-protein,1kg Pack (25 servings) / Taro,0724999807822,lean-protein | 1kg Pack (25 servings) / Taro,13,0.3076923076923077,132.37076923076924
better-whey,1kg (40 servings) / Unflavoured,0724999807890,better-whey | 1kg (40 servings) / Unflavoured,12,0.08333333333333333,87.53416666666668
better-whey,1KG Pack / Cocoa Dinosaur,0724999807937,better-whey | 1KG Pack / Cocoa Dinosaur,12,0.5,284.9334595959596
clear-protein,2 x 500g Pack (40 servings) *MOST POPULAR* / Peach,0724999807814_2,clear-protein | 2 x 500g Pack (40 servings) *MOST POPULAR* / Peach,12,0.4166666666666667,195.10583333333332
lean-protein,1kg Pack (40 servings) / Thai Milk Tea,0724999807821,lean-protein | 1kg Pack (40 servings) / Thai Milk Tea,12,0.25,182.14
green-tea-extract-capsules,60 Capsules,0724999807548,green-tea-extract-capsules | 60 Capsules,12,0.3333333333333333,136.6004797979798
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Thai Milk Tea,0724999810463,lushprotein-lean-protein-40g-single-serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,12,0.16666666666666666,73.24333333333334
better-whey,1KG Pack / Vanilla,724999807913.0,better-whey | 1KG Pack / Vanilla,12,0.3333333333333333,103.1075
lean-protein,2 x 1kg Packs (50 servings) *MOST POPULAR* / Taro,LEAN-TAR-1KG-2BL-V1,lean-protein | 2 x 1kg Packs (50 servings) *MOST POPULAR* / Taro,12,0.3333333333333333,170.66666666666666
pureburn-fat-burner-capsules,90 Tablets,0724999807562,pureburn-fat-burner-capsules | 90 Tablets,11,0.36363636363636365,194.75272727272724
lean-protein,40g Sachet / Taro,0724999810470,lean-protein | 40g Sachet / Taro,11,0.2727272727272727,73.44818181818182
better-whey,1kg (40 serves) / Matchawhey,0724999807784,better-whey | 1kg (40 serves) / Matchawhey,11,0.36363636363636365,119.47338842975206
better-whey,1kg (40 serves) / Unflavoured,0724999807890,better-whey | 1kg (40 serves) / Unflavoured,10,0.2,115.45127272727272
plant-protein,480g Pack (16 servings) / Natural (Unflavoured),724999808620.0,plant-protein | 480g Pack (16 servings) / Natural (Unflavoured),10,0.1,50.083181818181814
prime-whey-isolate,Cocoa Dinosaur / 1kg,724999807791.0,prime-whey-isolate | Cocoa Dinosaur / 1kg,10,0.3,124.84636363636363
better-whey,500g Pack / Cocoa Dinosaur,0724999808897,better-whey | 500g Pack / Cocoa Dinosaur,10,0.4,286.3085757575758
