Line: Product Handle,Line: Variant Title,Line: SKU,line_items,unique_customers,total_revenue
lean-protein,1kg Pack (25 servings) / Taro,0724999807708,33,30,1985.27
better-whey,500g (20 servings) / Cocoa Dinosaur,0724999808897,37,32,1980.1499999999999
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),724999807890.0,33,30,1953.929393939394
lean-protein,4 x 1kg Packs (100 servings) / Thai Milk Tea,LEAN-THA-1KG4BL-V1,9,8,1890.72
better-whey,1KG Pack / Vanilla,724999807913.0,25,20,1857.48
collagen-glow,1 x 300g pack (30 servings),0724999808507,30,27,1737.8
pureburn-fat-burner-capsules,90 Tablets,0724999807562,33,29,1715.94
clear-protein-25g-single-sachet,1 x 25g (1 serving) / Peach,CLEAR-PEA-25G-V2,110,100,1666.14
prime-whey-isolate,1kg Pack (40 servings) / Cocoa Dinosaur,724999807791.0,17,14,1659.337575757576
plant-protein,480g Pack (16 servings) / Vanilla,724999808613.0,37,28,1645.6524242424243
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),0724999807999,48,44,1607.55
soy-protein-isolate,1KG Pack / Natural (Unflavoured),724999807845.0,30,27,1529.077878787879
soy-protein-isolate,1kg Pack (40 servings) / Unflavoured,0724999807845,34,24,1510.12
collagen-glow,300g Pack (30 servings) / Natural (Unflavoured),724999808507.0,31,20,1490.969696969697
clear-protein,4 x 500g Pack (80 servings) / Peach,0724999807814_4,6,5,1477.33
better-whey,1KG Pack / Teh Tarik,724999808422.0,17,15,1430.51
collagen-glow,300g Pack,0724999808507,20,20,1412.389696969697
prime-whey-isolate,Matchawhey / 1kg,724999807777.0,14,12,1345.98
prime-whey-isolate,Cocoa Dinosaur,0724999807791,11,10,1345.0575757575757
better-whey,500g Pack (20 servings) / Cocoa Dinosaur,0724999808897,42,34,1339.2939393939394
better-whey,1kg (40 serves) / Matchawhey,0724999807784,26,23,1317.9636363636364
pureburn-fat-burner-capsules,90 Tablets (90 servings),0724999807562,29,20,1316.0
better-whey,500g Pack / Cocoa Dinosaur,0724999808897,28,28,1307.3163636363636
lean-protein,4 x 1kg Packs (100 servings) / Taro,LEAN-TAR-1KG-4BL-V1,5,3,1255.88
lean-protein,4 x 1kg Packs (100 servings) / Taro,0724999807822_4,6,5,1251.31
clear-protein,4 x 500g Pack (80 servings) / White Grape,CLEAR-GRA-500G-4BL-V2,4,4,1245.0
clear-protein-25g-single-sachet,5 x 25g (5 servings) *MOST POPULAR* / White Grape,CLEAR-GRA-25G-5PK-V2,48,40,1228.4099999999999
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,LEAN-THA-40G-5PK-V1,38,31,1211.09
lean-protein,2 x 1kg Packs (50 servings) *MOST POPULAR* / Thai Milk Tea,0724999807821_2,11,10,1205.52
soy-protein-isolate,1KG / Unflavoured,0724999807845,31,27,1202.24
lean-protein,2 x 1kg Packs (50 servings) *MOST POPULAR* / Taro,0724999807822_2,12,11,1192.94
micronized-creatine-monohydrate,250g (50 serves),0724999807999,38,30,1187.83
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Thai Milk Tea,LEAN-THA-40G-V1,91,80,1161.92
better-whey,1KG Pack / Matchawhey,0724999807784,12,12,1103.4766666666667
clear-protein-25g-single-sachet,5 x 25g (5 servings) *MOST POPULAR* / Peach,CLEAR-PEA-25G-5PK-V2,40,33,1020.05
clear-protein,4 x 500g Pack (80 servings) / White Grape,0724999807807_4,4,4,996.0
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Taro,LEAN-TAR-40G-5PK-V1,39,31,986.5699999999999
better-whey,1kg Pack (40 servings) / Vanilla (Exp Nov23),724999807913.0,18,16,979.9499999999999
super-omega-3,60 Softgels,CAP-OMG-BOTTLE-V1,15,13,969.06
plant-protein,Natural (Unflavored) / 480g,724999808620.0,24,23,948.2342424242424
clear-protein-25g-single-sachet,1 x 25g (1 serving) / White Grape,CLEAR-GRA-25G-V2,86,75,861.02
collagen-glow,300g Pack (30 servings),724999808507.0,14,13,846.13
better-whey,1kg Pack (40 servings) / Mango,0724999807951,14,14,838.5699999999999
better-whey,1KG Pack / Natural (Unflavoured),0724999807890,7,7,832.5254545454545
lean-protein,1kg Pack (40 servings) / Taro,0724999807708,13,13,827.98
better-whey,1kg Pack (40 servings) / Vanilla,0724999807913,14,14,809.54
better-whey,1kg (40 servings) / Unflavoured,BET-UNF-1KG-V1,10,5,803.64
soy-protein-isolate,1KG Pack / Natural (Unflavoured),0724999807845,9,9,802.8454545454546
better-whey,1KG Pack / Natural (Unflavored),0724999807890,7,6,799.1800000000001
soy-protein-isolate,1kg Pack (40 servings) / Natural (Unflavoured),724999807845.0,17,15,785.939696969697
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Taro,LEAN-TAR-40G-V1,74,67,785.89
better-whey,500g (20 serves) / Cocoa Dinosaur,0724999808897,22,16,781.5333333333334
collagen-glow,2 x 300g packs (60 servings) *Most Popular*,COL-UNF-300G-2BL-V1,11,7,762.2
plant-protein,Vanilla / 480g,724999808613.0,16,13,746.2545454545455
super-omega-3,60 Softgels,0724999807555,23,16,722.2527272727273
better-whey,500g Pack / Teh Tarik,724999808910.0,17,16,718.1999999999999
super-omega-3,60 Softgels (60 servings),0724999807555,19,19,697.9454545454546
plant-protein,480g Pack (16 servings) / Natural (Unflavoured),724999808620.0,18,16,686.3921212121212
prime-whey-isolate,1kg Pack (40 servings) / Matchawhey,724999807777.0,7,7,679.6800000000001
green-tea-extract-capsules,60 Capsules (60 servings),0724999807548,27,25,668.079393939394
pureburn-fat-burner-capsules,90 capsules,724999807562.0,16,16,661.6848484848485
green-tea-extract-capsules,60 Capsules,0724999807548,28,27,657.2654545454545
clear-protein,25g Sachet (1 serving) / White Grape,0724999810487,72,68,643.33
better-whey,1kg Pack (40 servings) / Genmai-Roasted Brown Rice,0724999808736,13,12,635.3
better-whey,1KG Pack / Teh Tarik,0724999808422,6,6,630.26
collagen-glow,4 x 300g packs (120 servings),COL-UNF-300G-4BL-V1,5,4,624.1099999999999
clear-protein,25g Sachet (1 serving) / Peach,0724999810494,72,68,618.73
better-whey,500g Pack / Matchawhey,724999808941.0,15,15,587.6
better-whey,1kg Pack (40 servings) / Teh Tarik,724999808422.0,10,9,581.33
better-whey,1kg Pack (40 servings) / Vanilla (unsweetened),0724999807913,10,9,572.06
better-whey,500g Pack / Vanilla,724999808903.0,16,15,564.86
soy-protein-isolate,4 x 1kg Pack (160 servings) / Unflavoured,SOY-UNF-1KG-4BL-V1,5,5,562.62
collagen-glow,2 x 300g packs (60 servings) *Most Popular*,0724999808507_2,8,5,559.69
prime-whey-isolate,Natural (Unflavored),0724999807760,4,4,545.1818181818182
lean-protein,2 x 1kg Packs (50 servings) *POPULAR* / Taro,0724999807822_2,5,5,527.61
better-whey,500g Pack (20 servings) / Cocoa Dinosaur,724999808897.0,15,14,519.2954545454545
lean-protein,40g Sachet (1 serving) / Thai Milk Tea,0724999810463,133,129,514.12
lushprotein-lean-protein-40g-single-serve,40g Sachet / Thai Milk Tea,0724999810463,36,35,511.23
super-omega-3,60 Capsules,724999807555.0,12,9,501.58787878787876
better-whey,500g Pack (20 servings) / Natural (Unflavoured),0724999808880,15,15,495.8121212121212
prime-whey-isolate,1KG Pack / Cocoa-dinosaur,0724999807791,2,2,479.97
plant-protein,Vanilla / 480g,0724999808613,2,2,478.40000000000003
multivitamin-vegan,90 Capsules (30 servings),0724999808378,12,11,456.469696969697
discovery-sampler,6 Sachets Variety,0724999809610,19,19,446.94
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Taro,0724999810524,14,9,446.78999999999996
lean-protein,40g Sachet (1 serving) / Taro,0724999810470,126,124,442.82
better-whey,1kg Pack (40 servings) / Mango,724999807951.0,8,8,439.06
better-whey,1KG Pack / Vanilla,0724999807913,4,4,419.40000000000003
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Taro,0724999810470,51,49,403.15000000000003
plant-protein,Cocoa Dinosaur / 480g,0724999808606,7,7,394.6818181818182
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,0724999810517,14,12,389.37
plant-protein,Vanilla,0724999808613,7,7,382.77696969696973
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Thai Milk Tea,0724999810463,51,49,380.46000000000004
better-whey,500g Pack / Natural (Unflavored),724999808880.0,12,12,377.6090909090909
collagen-glow,4 x 300g packs (120 servings),0724999808507_4,3,3,376.78
prime-whey-isolate,Natural (Unflavored) / 1kg,0724999807760,5,5,363.4545454545455
prime-whey-isolate,Matchawhey / 1kg,0724999807777,4,4,359.6
micronized-creatine-monohydrate,2 x 250g Pack (100 servings) *Most Popular*,CRE-UNF-250G-2BL-V1,7,5,356.03
soy-protein-isolate,4 x 1kg Pack (160 servings) / Unflavoured,0724999807845_4,3,2,355.68
prime-whey-isolate,1KG Pack / Cocoa Dinosaur,0724999807791,2,2,355.44545454545454
micronized-creatine-monohydrate,4 x 250g Pack (200 servings),CRE-UNF-250G-4BL-V1,4,4,352.51
soy-protein-isolate,2 x 1kg Pack (80 servings) *Most Popular* / Unflavoured,SOY-UNF-1KG-2BL-V1,5,4,340.0
lean-protein,1 x 1kg Pack / Thai Milk Tea,LEAN-THA-1KG-V1,3,3,337.65999999999997
pureburn-fat-burner-capsules,90 Capsules (90 servings),0724999807562,8,8,336.70303030303035
prime-whey-isolate,Cocoa Dinosaur / 1kg,0724999807791,5,5,332.20303030303035
clear-protein-25g-single-sachet,5 x 25g Sachet (5 servings)  *MOST POPULAR* / Peach,0724999810548,12,10,331.94
clear-protein-25g-single-sachet,5 x 25g Sachet (5 servings)  *MOST POPULAR* / White Grape,0724999810531,14,10,329.78999999999996
prime-whey-isolate,1KG Pack / Natural (Unflavoured),0724999807760,1,1,319.98
multivitamin-vegan,90 Capsules,724999808378.0,5,4,319.08000000000004
plant-protein,Cocoa Dinosaur,0724999808606,8,8,317.7887878787879
lean-protein,40g Sachet / Thai Milk Tea,0724999810463,49,47,298.97
better-whey,500g Pack (20 servings) / Vanilla,0724999808903,9,9,279.09999999999997
clear-protein,500g Pack (20 Servings) / Peach,0724999807814,6,6,278.8909090909091
lushprotein-lean-protein-40g-single-serve,40g Sachet / Taro,0724999810470,32,31,275.22
clear-protein-25g-single-sachet,1 x 25g Sachet (1 serving) / White Grape,0724999810487,36,32,268.26
clear-protein-25g-single-sachet,1 x 25g Sachet (1 serving) / Peach,0724999810494,37,33,260.98
better-whey,500g Pack (20 servings) / Vanilla (unsweetened),0724999808903,8,8,234.72
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet / Thai Milk Tea,LEAN-THA-40G-V1,12,12,233.36
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet / Taro,LEAN-TAR-40G-5PK-V1,4,4,229.9
better-whey,500g Pack (20 servings) / Vanilla (Expiry Sep 2024),0724999808903,10,10,228.0
creatine-monohydrate-sachet,1 x 5g (1 servings),CRE-UNF-5G-V1,21,18,224.49
pureburn-fat-burner-capsules,90 tablets,724999807562.0,5,5,214.5
plant-protein,Natural (Unflavored),0724999808620,2,2,209.3
better-whey,500g Pack / Vanilla,0724999808903,3,3,195.89
lean-protein,4 x 1kg Packs (100 servings) / Thai Milk Tea,0724999807821_4,1,1,193.5
better-whey,500g Pack (20 servings) / Matchawhey,724999808941.0,5,5,191.92
lean-protein,40g Sachet / Taro,0724999810470,31,30,191.14000000000001
green-tea-extract-capsules,60 Capsules,724999807548.0,7,6,187.4369696969697
clear-protein-25g-single-sachet,5 x 25g Sachets / Peach,CLEAR-PEA-25G-5PK-V2,3,3,175.57999999999998
pureburn-fat-burner-capsules,90 capsules,0724999807562,2,2,172.31333333333333
multivitamin-vegan,90 Capsules (30 servings),724999808378.0,5,4,167.4348484848485
super-omega-3,60 Softgels (60 servings),724999807555.0,5,5,165.49878787878788
clear-protein,500g Pack (20 Servings) / Peach,724999807814.0,4,4,164.34545454545454
lean-protein,1kg Pack (25 serves) / Taro,0724999807822,3,3,161.35
better-whey,500g Pack / Matchawhey,0724999808941,4,4,155.60999999999999
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,0724999810463_5,5,4,154.99
plant-protein,480g Pack / Vanilla,0724999808613,3,3,139.89303030303032
clear-protein,1 x 500g Pack / White Grape,CLEAR-GRA-500G-V2,2,2,136.31
soy-protein-isolate,2 x 1kg Pack (80 servings) *Most Popular* / Unflavoured,0724999807845_2,2,2,136.0
pureburn-fat-burner-capsules,90 Capsules (90 servings),724999807562.0,4,4,134.43636363636364
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet / Thai Milk Tea,LEAN-THA-40G-5PK-V1,4,4,133.87
pureburn-fat-burner-capsules,90 Tablets (90 servings),724999807562.0,3,3,128.7
clear-protein-25g-single-sachet,25g Sachet / White Grape,0724999810487,22,20,128.49
green-tea-extract-capsules,60 Capsules (60 servings),724999807548.0,6,5,128.1639393939394
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet / Taro,LEAN-TAR-40G-V1,9,9,127.92
clear-protein,500g Pack (20 Servings) / White Grape,724999807807.0,2,2,124.07272727272726
clear-protein,500g Pack (20 Servings) / White Grape,0724999807807,3,3,122.44545454545454
better-whey,500g Pack / Teh Tarik,0724999808910,3,3,119.69999999999999
better-whey,500g Pack (20 servings) / Vanilla,724999808903.0,3,3,119.69999999999999
lean-protein,1kg Pack (40 servings) / Taro,0724999807822,2,2,113.81
green-tea-extract-capsules,60 Capsules,CAP-GTE-BOTTLE-V1,5,5,111.25
better-whey,500g Pack / Natural (Unflavoured),0724999808880,2,2,109.05060606060606
plant-protein,Natural (Unflavored) / 480g,0724999808620,3,3,108.96969696969698
better-whey,500g Pack (20 servings) / Natural (Unflavoured),724999808880.0,3,3,107.04242424242425
collagen-glow-10g-single-serve,7 x 10g Sachet (7 servings) *Most Popular*,COL-UNF-10G-7PK-V1,5,4,106.89
clear-protein-25g-single-sachet,25g Sachet / Peach,0724999810494,22,19,106.61
better-whey,500g Pack (20 servings) / Matchawhey,0724999808941,3,1,101.76
super-omega-3,60 Capsules,0724999807555,3,3,100.08181818181819
better-whey,1kg Pack (40 servings) / Genmai-Roasted Brown Rice,724999808736.0,2,2,99.8
lean-protein,1 x 1kg Pack / Taro,LEAN-TAR-1KG-V1,1,1,88.76
clear-protein-25g-single-sachet,5 x 25g Sachet (5 servings)  *MOST POPULAR* / Peach,0724999810494_5,3,3,86.62
multivitamin-vegan,90 capsules,0724999808378,2,2,77.8
better-whey,500g Pack / Natural (Unflavored),0724999808880,2,2,75.81
clear-protein-25g-single-sachet,5 x 25g Sachets / White Grape,CLEAR-GRA-25G-5PK-V2,1,1,69.0
micronized-creatine-monohydrate,4 x 250g Pack (200 servings),0724999807999_4,1,1,68.32
prime-whey-isolate,1kg Pack (40 servings) / Matchawhey,0724999807777,1,1,67.92
clear-protein,1 x 500g Pack / Peach,CLEAR-PEA-500G-V2,1,1,67.31
multivitamin-vegan,90 Caps,0724999808378,2,2,56.13939393939394
collagen-glow-10g-single-serve,1 x 10g Sachet (1 serving),COL-UNF-10G-V1,7,5,50.11
collagen-glow-10g-single-serve,1 x 10g Sachet,COL-UNF-10G-V1,3,3,48.120000000000005
clear-protein-25g-single-sachet,1 x 25g (1 serving) / Peach,0724999810494,4,4,47.47
clear-protein-25g-single-sachet,1 x 25g (1 serving) / White Grape,0724999810487,4,4,47.47
better-whey,1KG Pack / Natural/Unflavored,724999807890.0,1,1,45.42424242424243
clear-protein-25g-single-sachet,5 x 25g (5 servings) *MOST POPULAR* / Peach,0724999810548,2,2,41.34
clear-protein-25g-single-sachet,5 x 25g Sachet (5 servings)  *MOST POPULAR* / White Grape,0724999810487_5,2,2,40.82
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Taro,0724999810470_5,2,2,39.91
better-whey,500g Pack / Vanilla (Exp Nov 2023),724999808903.0,1,1,39.9
creatine-monohydrate-sachet,10 x 5g (10 servings) *Most Popular*,0724999809603_10,1,1,39.9
multivitamin-vegan,90 Capsules,0724999808378,1,1,38.9
collagen-glow-10g-single-serve,5 x 10g Sachet (5 servings) *Most Popular*,724999809009_5,2,2,30.009999999999998
better-whey,500g (20 serves) / Unflavoured,0724999808880,1,1,24.51818181818182
collagen-glow-10g-single-serve,7 x 10g Sachets,COL-UNF-10G-7PK-V1,1,1,22.3
clear-protein-25g-single-sachet,5 x 25g (5 servings) *MOST POPULAR* / White Grape,0724999810531,1,1,17.93
creatine-monohydrate-sachet,1 x 5g (1 servings),0724999809603,2,1,17.700000000000003
creatine-monohydrate-sachet,1 x 5g Sachet (1 servings),0724999809603,2,2,16.92
collagen-glow-10g-single-serve,1 x 10g Sachet (1 serving),724999809009,2,2,10.54
lean-protein,40g Sachet (single serve) / Taro,0724999810470,1,1,2.98
