customer_id,acq_year,acq_month,first_channel,total_revenue,total_orders,is_repeat,ever_subscribed,first_disc_bin,first_order_pos,unique_handles,unique_flavor_skus,vtd_decile,finals_eligible,profit_proxy
7367297892607,2024,7,Subscription,76.24,1,False,False,31-50%,False,2,2,D6,False,30.496
7369327345919,2024,7,Marketplace,25.71,1,False,False,11-20%,False,1,1,D3,False,10.284
7374596210943,2024,7,Marketplace,80.07,1,False,False,1-5%,False,1,1,D6,False,32.028
7374832828671,2024,7,Marketplace,50.02,2,True,False,11-20%,False,1,2,D4,False,20.008000000000003
7377157947647,2024,7,Marketplace,26.6,1,False,False,11-20%,False,1,1,D3,False,10.64
7377505779967,2024,7,Marketplace,52.06,1,False,False,11-20%,False,1,1,D5,False,20.824
7378301812991,2024,7,Marketplace,25.01,1,False,False,11-20%,False,1,1,D3,False,10.004000000000001
7378338840831,2024,7,Marketplace,25.01,1,False,False,11-20%,False,1,1,D3,False,10.004000000000001
7378677072127,2024,7,Marketplace,25.71,1,False,False,11-20%,False,1,1,D3,False,10.284
7379056361727,2024,7,Marketplace,44.1,1,False,False,21-30%,False,1,1,D4,False,17.64
7379203752191,2024,7,Marketplace,25.01,1,False,False,11-20%,False,1,1,D3,False,10.004000000000001
7379260604671,2024,7,Subscription,72.73,1,False,False,11-20%,False,1,1,D6,False,29.092000000000002
7380280901887,2024,7,Marketplace,52.65,1,False,False,21-30%,False,1,2,D5,False,21.060000000000002
7380480000255,2024,7,Marketplace,67.24,1,False,False,6-10%,False,2,2,D6,False,26.896
7380594262271,2024,7,Subscription,102.1,1,False,False,11-20%,False,1,3,D7,False,40.84
7380691484927,2024,7,Marketplace,27.89,1,False,False,11-20%,False,1,1,D3,False,11.156
7380867023103,2024,7,Marketplace,58.82,1,False,False,21-30%,False,1,1,D5,False,23.528000000000002
7381307031807,2024,7,Subscription,25.42,1,False,True,0%,False,1,1,D3,False,10.168000000000001
7381357953279,2024,7,Marketplace,251.95,1,False,False,1-5%,False,1,1,D9,False,100.78
7381485093119,2024,8,Subscription,92.15,1,False,False,1-5%,False,2,2,D6,True,36.86000000000001
7381764145407,2024,7,Marketplace,58.82,1,False,False,21-30%,False,1,1,D5,False,23.528000000000002
7382601302271,2024,7,Subscription,0.0,1,False,False,51%+,False,1,1,D1,False,0.0
7382773793023,2024,7,Subscription,0.0,2,True,False,51%+,False,2,2,D1,False,0.0
7382775267583,2024,7,Subscription,0.0,1,False,False,51%+,False,2,2,D1,False,0.0
7383843766527,2024,7,Marketplace,28.59,1,False,False,11-20%,False,1,1,D3,False,11.436
7383932666111,2024,7,Marketplace,56.3,1,False,False,6-10%,False,1,1,D5,False,22.52
7385720619263,2024,7,Subscription,44.55,1,False,False,51%+,False,1,4,D4,False,17.82
7385810829567,2024,7,Subscription,37.1,1,False,False,51%+,False,2,3,D4,False,14.840000000000002
7385924763903,2024,7,Subscription,49.05,1,False,False,51%+,False,2,2,D4,False,19.62
7389126820095,2024,7,Marketplace,56.3,1,False,False,6-10%,False,1,1,D5,False,22.52
7389329228031,2024,7,Subscription,57.78,2,True,True,0%,False,1,3,D5,False,23.112000000000002
7389339025663,2024,7,Subscription,61.71,1,False,False,1-5%,False,1,1,D5,False,24.684
7390021288191,2024,7,Subscription,113.81,1,False,False,1-5%,False,2,2,D7,False,45.524
